okres,year,total_voters,total_populist,business_total,private,private_foreign,private_foreign_intl,pop_density,age_dep_ratio,pop_tot,foreign_prop,uni_prop,relig,prop_agro,prop_manuf,prop_prof,tot_land,agro_land,agro_prop_land,foreign_biz_prop,turnout,total_pop,slovak,hungarian,ukrainian,czech,german,polish,austrian
Bratislava IV,2010,53615,0.29771519164412946,4701,4690,471,230,1001.97,18.29,97092,0.08240637745643309,0.37834984879319855,0.6851244159513202,0.005029776275551264,0.054603251247384514,0.25148881377756316,96702252,35621730,0.36836505110553164,0.1001914486279515,0.5522082148889713,97092,89091,2317,137,1953,382,207,60
Bratislava IV,2012,53410,0.4476502527616551,5254,5245,495,224,962.28,20.22,93386,0.07899471012785642,0.37834984879319855,0.6851244159513202,0.005029776275551264,0.054603251247384514,0.25148881377756316,96664977,35052211,0.3626154175777645,0.09421393224210126,0.5719272696121475,93386,86009,2187,110,1353,209,118,24
Bratislava IV,2016,58342,0.32095231565595966,6754,6749,532,203,990.06,22.89,96032,0.08495084971676103,0.37834984879319855,0.6851244159513202,0.005029776275551264,0.054603251247384514,0.25148881377756316,96665027,34308844,0.3549250961260271,0.07876813740005922,0.6075266577807398,96032,87874,2335,184,1498,348,197,72
Bratislava V,2002,72225,0.35468328141225336,1932,1926,238,195,1281.52,14.08,120359,0.08112397078739442,0.3281628180807222,0.6708507670850767,0.00574813772068743,0.05123467652061704,0.251334389113731,94203525,48883520,0.5189139153763089,0.12318840579710146,0.6000797613805365,120359,110595,4757,126,1853,242,113,19
Bratislava V,2010,64110,0.29720792388082984,5945,5941,858,344,1246.92,13.57,116993,0.0877402921542314,0.3281628180807222,0.6708507670850767,0.00574813772068743,0.05123467652061704,0.251334389113731,94203525,47326155,0.5023819968520287,0.14432296047098403,0.5479815031668561,116993,106728,4509,161,1874,324,196,115
Bratislava V,2012,63090,0.45257568552860994,7472,7468,1258,393,1179.69,15.55,111124,0.08441920737194486,0.3281628180807222,0.6708507670850767,0.00574813772068743,0.05123467652061704,0.251334389113731,94207079,46607759,0.49473733284947724,0.16836188436830835,0.5677441416795652,111124,101743,3966,132,1251,191,127,25
Bratislava V,2016,66984,0.33098949002746925,9401,9395,1598,367,1176.35,20.34,110753,0.0898666401813043,0.3281628180807222,0.6708507670850767,0.00574813772068743,0.05123467652061704,0.251334389113731,94207079,46086332,0.4892024303184265,0.16998191681735986,0.6048052874414237,110753,100800,4008,225,1377,278,194,122
Brezno,2002,34575,0.5066955892986261,375,360,14,40,51.93,25.69,65618,0.052927550367277254,0.14042228440600357,0.8787774939248552,0.1018058690744921,0.14288939051918736,0.09887133182844243,1265377759,347286651,0.27445294381849494,0.037333333333333336,0.5269133469474839,65618,62145,93,41,389,15,18,2
Brezno,2010,28426,0.5272989516639696,812,799,36,55,50.49,20.49,63702,0.05690559166117237,0.14042228440600357,0.8787774939248552,0.1018058690744921,0.14288939051918736,0.09887133182844243,1265211046,343322090,0.2713555901091935,0.04433497536945813,0.44623402718909927,63702,60077,90,51,428,36,40,3
Brezno,2012,28916,0.6842924332549454,905,893,47,50,50.49,20.24,63696,0.1298040693293142,0.14042228440600357,0.8787774939248552,0.1018058690744921,0.14288939051918736,0.09887133182844243,1265211046,342599589,0.27078453834491734,0.051933701657458566,0.4539688520472243,63696,55428,79,43,234,18,31,1
Brezno,2016,29539,0.39276888181725855,1192,1183,39,32,49.36,20.46,62298,0.12107932838935442,0.14042228440600357,0.8787774939248552,0.1018058690744921,0.14288939051918736,0.09887133182844243,1265211046,327933036,0.25919235928011336,0.03271812080536913,0.47415647372307296,62298,54755,94,60,247,41,48,4
Bytča,2002,16281,0.56255758245808,151,147,8,15,109.27,31.03,30790,0.012276713218577484,0.13949234669319385,0.9655330131660622,0.0995405819295559,0.1439509954058193,0.06891271056661562,281635622,85469422,0.3034751832635717,0.052980132450331126,0.528775576485872,30790,30412,5,2,159,1,9,0
Bytča,2010,14604,0.6876198301835114,304,302,18,19,110.37,24.21,31111,0.014207193597119971,0.13949234669319385,0.9655330131660622,0.0995405819295559,0.1439509954058193,0.06891271056661562,281637854,84513615,0.3000790334100472,0.05921052631578947,0.469415962199865,31111,30669,4,5,198,6,13,1
Bytča,2012,15996,0.809264816204051,350,348,23,17,108.71,23.35,30611,0.03332135506843947,0.13949234669319385,0.9655330131660622,0.0995405819295559,0.1439509954058193,0.06891271056661562,281657062,83730468,0.2972780707341185,0.06571428571428571,0.5225572506615269,30611,29591,7,4,115,8,10,1
Bytča,2016,15454,0.42235020059531514,553,551,37,13,109.09,22.85,30732,0.03022907718339185,0.13949234669319385,0.9655330131660622,0.0995405819295559,0.1439509954058193,0.06891271056661562,281518791,82545542,0.2932150344450719,0.06690777576853527,0.5028634647923989,30732,29803,10,3,145,16,14,2
Čadca,2002,43916,0.633140541032881,536,520,51,39,122.06,29.73,92876,0.024527326758258305,0.13244438381702645,0.9742121906008069,0.03626345463864685,0.12224500256278831,0.08482829318298309,760624042,253456398,0.3332216495991327,0.09514925373134328,0.47284551444937334,92876,90598,32,34,773,9,59,2
Čadca,2010,40867,0.7318129542173392,1330,1324,152,47,121.48,22.56,92259,0.028528382054867296,0.13244438381702645,0.9742121906008069,0.03626345463864685,0.12224500256278831,0.08482829318298309,760624042,254396924,0.33445816849423227,0.11428571428571428,0.4429594944666645,92259,89627,29,45,951,23,139,3
Čadca,2012,43930,0.8143409970407467,1585,1575,203,72,120.4,21.88,91521,0.05704701653172495,0.13244438381702645,0.9742121906008069,0.03626345463864685,0.12224500256278831,0.08482829318298309,760624042,253209666,0.3328972685825253,0.1280757097791798,0.479999125883677,91521,86300,33,32,581,22,68,3
Čadca,2016,42575,0.3456723429242513,2196,2189,242,123,119.44,20.81,90739,0.052909994599896426,0.13244438381702645,0.9742121906008069,0.03626345463864685,0.12224500256278831,0.08482829318298309,760624042,250597464,0.3294629806087565,0.11020036429872496,0.4692028785858341,90739,85938,35,37,722,33,149,9
Detva,2002,18064,0.60457263064659,161,154,4,5,74.24,24.17,33274,0.02623670132836453,0.13631943994295714,0.9057028210116731,0.08688591149005279,0.1656516443361754,0.08038976857490865,449218648,223672348,0.49791420947422466,0.024844720496894408,0.5428863376810723,33274,32401,48,22,178,4,8,1
Detva,2010,15566,0.606835410510086,385,382,19,25,72.5,18.76,32514,0.030263886325890388,0.13631943994295714,0.9057028210116731,0.08688591149005279,0.1656516443361754,0.08038976857490865,449194367,220957173,0.491896580261435,0.04935064935064935,0.478747616411392,32514,31530,46,32,190,8,16,4
Detva,2012,16674,0.7491303826316421,465,462,25,21,73.26,18.88,32871,0.09713729427154638,0.13631943994295714,0.9057028210116731,0.08688591149005279,0.1656516443361754,0.08038976857490865,449190859,220380783,0.49061724784564237,0.053763440860215055,0.5072556356666971,32871,29678,24,24,128,6,12,0
Detva,2016,15949,0.38641921123581413,689,686,17,11,72.27,19.01,32418,0.0890246159540996,0.13631943994295714,0.9057028210116731,0.08688591149005279,0.1656516443361754,0.08038976857490865,449185196,218395062,0.4862027153717684,0.02467343976777939,0.4919797643284595,32418,29532,28,24,147,9,17,7
Dolný Kubín,2002,20602,0.4398602077468207,399,393,16,24,80.36,29.65,39388,0.01797501777191024,0.19290135346842335,0.9133603238866397,0.07063711911357341,0.12211449676823638,0.1061865189289012,490304988,223257466,0.45534406433572727,0.040100250626566414,0.523052706408043,39388,38680,34,10,262,7,35,0
Dolný Kubín,2010,18290,0.42651722252597046,792,787,44,31,80.42,22.83,39553,0.020327155967941768,0.19290135346842335,0.9133603238866397,0.07063711911357341,0.12211449676823638,0.1061865189289012,491867404,227070089,0.46164898741694216,0.05555555555555555,0.46241751573837636,39553,38749,32,19,295,11,50,2
Dolný Kubín,2012,19210,0.6239458615304528,867,862,52,25,80.3,22.69,39499,0.05711537000936728,0.19290135346842335,0.9133603238866397,0.07063711911357341,0.12211449676823638,0.1061865189289012,491839673,223346167,0.45410360176455306,0.05997693194925029,0.4863414263652244,39499,37243,25,16,182,6,49,4
Dolný Kubín,2016,20567,0.3958282685855983,1194,1189,52,29,80.3,22.51,39480,0.049417426545086074,0.19290135346842335,0.9133603238866397,0.07063711911357341,0.12211449676823638,0.1061865189289012,491838833,212214114,0.4314708391478312,0.04355108877721943,0.5209473150962513,39480,37529,24,19,197,17,70,10
Dunajská Streda,2002,65110,0.05645830133620028,1223,1205,89,132,104.96,23.33,112977,0.8567496039016791,0.1403008671489484,0.9087748514919479,0.0437578240582679,0.10481392966882895,0.14430408558097188,1075003564,816401570,0.759440803119049,0.07277187244480784,0.57631199270648,112977,16184,93780,33,621,46,21,4
Dunajská Streda,2010,64681,0.04798936318238741,3305,3290,618,202,110.12,18.86,118607,0.8226327282538131,0.1403008671489484,0.9087748514919479,0.0437578240582679,0.10481392966882895,0.14430408558097188,1074589421,806791385,0.7507903662863251,0.1869894099848714,0.5453388079961554,118607,21037,93789,80,745,82,44,64
Dunajská Streda,2012,58503,0.08720920294685743,3855,3836,772,197,109,19.1,117402,0.7993730941551251,0.1403008671489484,0.9087748514919479,0.0437578240582679,0.10481392966882895,0.14430408558097188,1074589421,805162772,0.7492747986023585,0.20025940337224385,0.4983134869934073,117402,23554,87383,58,555,61,45,16
Dunajská Streda,2016,55484,0.10228173887967702,4584,4569,710,163,111.39,19.84,120085,0.7746346338010576,0.1403008671489484,0.9087748514919479,0.0437578240582679,0.10481392966882895,0.14430408558097188,1074589421,800428808,0.7448694286001165,0.15488656195462477,0.4620393887662905,120085,27063,86778,80,653,93,67,61
Galanta,2002,51384,0.30565934921376303,781,771,66,52,147.2,23.65,94471,0.4051084459781309,0.13324634051374873,0.8603329273244011,0.03350235421948569,0.13093082216588192,0.11218761318362912,641763551,526326808,0.820125741295021,0.08450704225352113,0.5439129468302442,94471,56200,36449,23,509,32,19,1
Galanta,2010,46735,0.281138333155023,2018,2007,212,85,150.14,18.58,96452,0.4056110811595405,0.13324634051374873,0.8603329273244011,0.03350235421948569,0.13093082216588192,0.11218761318362912,641743139,514159205,0.8011915885866604,0.10505450941526263,0.4845415336125741,96452,57330,36238,45,596,62,35,18
Galanta,2012,45396,0.4002995858665962,2267,2256,229,87,145.94,18.45,93628,0.40342632545819623,0.13324634051374873,0.8603329273244011,0.03350235421948569,0.13093082216588192,0.11218761318362912,641743139,513624619,0.8003585668252855,0.10101455668284076,0.48485495791857136,93628,55856,32630,32,374,39,38,10
Galanta,2016,45859,0.2657275562048889,2906,2897,211,65,146.2,19.1,93866,0.39821660665203584,0.13324634051374873,0.8603329273244011,0.03350235421948569,0.13093082216588192,0.11218761318362912,641715625,512485262,0.7986173969193909,0.07260839642119753,0.4885581573732768,93866,56487,32042,43,452,67,49,17
Gelnica,2002,14691,0.45878428970117757,94,80,3,5,52.69,33.26,30863,0.1037164241972589,0.09741695086522673,0.9190649782553083,0.1316793893129771,0.14694656488549618,0.04866412213740458,584421514,116853171,0.1999467305715922,0.031914893617021274,0.4760068690665198,30863,27662,32,74,114,341,4,0
Gelnica,2010,12171,0.5407936899186591,199,184,14,8,53.69,29.66,31440,0.14147582697201022,0.09741695086522673,0.9190649782553083,0.1316793893129771,0.14694656488549618,0.04866412213740458,584432561,114128597,0.1952810377380736,0.07035175879396985,0.387118320610687,31440,26992,28,92,136,352,9,1
Gelnica,2012,12391,0.6551529335808248,206,196,17,8,53.64,29.42,31368,0.1796735526651364,0.09741695086522673,0.9190649782553083,0.1316793893129771,0.14694656488549618,0.04866412213740458,584432561,114316725,0.19560293629841066,0.0825242718446602,0.395020402958429,31368,25732,46,56,88,238,7,1
Gelnica,2016,12048,0.3364043824701195,288,279,14,4,54.21,30.49,31722,0.18554946094193303,0.09741695086522673,0.9190649782553083,0.1316793893129771,0.14694656488549618,0.04866412213740458,584310115,108117380,0.1850342433315569,0.04861111111111111,0.3797995082277284,31722,25836,51,65,110,228,13,3
Hlohovec,2002,24893,0.5772305467400474,273,270,21,26,169.58,24.45,45247,0.01745972108648086,0.15145422559345656,0.8899062520486878,0.03196859226023556,0.13684800897363994,0.12282669657879977,267165029,193296105,0.7235082590094529,0.07692307692307693,0.550158021526289,45247,44457,78,12,262,7,13,3
Hlohovec,2010,21370,0.5534861956013103,654,650,47,31,169.23,19.64,45213,0.020038484506668452,0.15145422559345656,0.8899062520486878,0.03196859226023556,0.13684800897363994,0.12282669657879977,267161337,192334292,0.7199181369570703,0.07186544342507645,0.4726516709795855,45213,44307,85,14,272,11,24,26
Hlohovec,2012,22487,0.7046293413972518,720,717,46,24,171.3,19.58,45762,0.05316638258817363,0.15145422559345656,0.8899062520486878,0.03196859226023556,0.13684800897363994,0.12282669657879977,267161337,192165572,0.7192866084511322,0.06388888888888888,0.491390236440715,45762,43329,62,12,158,9,18,1
Hlohovec,2016,22078,0.39460096023190505,1029,1025,44,23,170.22,20.43,45420,0.049075297225891656,0.15145422559345656,0.8899062520486878,0.03196859226023556,0.13684800897363994,0.12282669657879977,267226972,191660252,0.7172189639599703,0.042759961127308066,0.48608542492294143,45420,43191,79,17,184,29,24,33
Humenné,2002,32958,0.4768796650282177,403,401,38,21,85.79,27.57,64714,0.08707543962666497,0.17156294616612078,0.9530304440927287,0.09060955518945635,0.13982701812191103,0.08401976935749589,754419586,282412777,0.3743444394085495,0.09429280397022333,0.5092870167197207,64714,59079,85,919,335,5,33,0
Humenné,2010,26404,0.5412816239963641,945,944,62,39,84.84,20.14,63824,0.08984081223364249,0.17156294616612078,0.9530304440927287,0.09060955518945635,0.13982701812191103,0.08401976935749589,754238069,281040730,0.37261541355584904,0.0656084656084656,0.4137001754825771,63824,58090,77,927,329,11,52,6
Humenné,2012,27804,0.6641130772550712,1061,1058,67,37,85.15,19.55,64109,0.16130340513812413,0.17156294616612078,0.9530304440927287,0.09060955518945635,0.13982701812191103,0.08401976935749589,754238069,280249952,0.37156696740535383,0.06314797360980208,0.43369885663479385,64109,53768,79,521,233,9,40,1
