comm_id,...1,area,year,comm_name,bundesland,dist_id,dist_name,Sex,in_bnds,in_gmnd,in_bzrk,in_NA,out_bnds,out_gmnd,out_bzrk,out_NA,fpo,period,elect_year,primary,secondary,tertiary,emp,unemp,inact,ruemp,pop_tot,pop_foreign
10305,7,4.81970566985077,2021,Klingenbach,Burgenland,103,NA,male,59,0,0,NA,132,0,20,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,72
10306,8,18.9374761254524,2012,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1158,9
10306,8,18.9374761254524,2013,Leithapssdersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,NA,13
10306,8,18.9374761254524,2014,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,1173,10
10306,8,18.9374761254524,2015,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.08459596,2,1,,,,133200,7400,106900,0.05263157894736842,1173,11
10306,8,18.9374761254524,2016,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,1187,11
10306,8,18.9374761254524,2017,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,1174,13
10306,8,18.9374761254524,2018,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,1193,11
10306,8,18.9374761254524,2019,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,1198,7
10306,8,18.9374761254524,2020,Leithaprodersdorf,Burgenland,103,NA,male,1,0,0,NA,0,0,0,NA,0.065853659,3,1,,,,136600,6000,109100,0.04207573632538569,NA,10
10306,8,18.9374761254524,2021,Leithaprodersdorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,14
10307,9,28.0104998321972,2012,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,2318,11
10307,9,28.0104998321972,2013,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,2288,13
10307,9,28.0104998321972,2014,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,2280,11
10307,9,28.0104998321972,2015,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.208567416,2,1,,,,133200,7400,106900,0.05263157894736842,2261,10
10307,9,28.0104998321972,2016,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,2272,25
10307,9,28.0104998321972,2017,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,2251,21
10307,9,28.0104998321972,2018,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,2261,17
10307,9,28.0104998321972,2019,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,2244,17
10307,9,28.0104998321972,2020,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.143654114,3,1,,,,136600,6000,109100,0.04207573632538569,NA,11
10307,9,28.0104998321972,2021,Moerbisch am See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,16
10308,10,12.7802260410038,2012,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1327,28
10308,10,12.7802260410038,2013,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,1353,28
10308,10,12.7802260410038,2014,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,1353,26
10308,10,12.7802260410038,2015,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.14301676,2,1,,,,133200,7400,106900,0.05263157894736842,1375,29
10308,10,12.7802260410038,2016,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,1388,29
10308,10,12.7802260410038,2017,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,1404,33
10308,10,12.7802260410038,2018,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,1397,33
10308,10,12.7802260410038,2019,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,1394,31
10308,10,12.7802260410038,2020,Muellendorf,Burgenland,103,NA,male,1,0,0,NA,0,0,0,NA,0.088095238,3,1,,,,136600,6000,109100,0.04207573632538569,NA,29
10308,10,12.7802260410038,2021,Muellendorf,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,34
10309,11,4.2916494657007105,2012,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,3185,116
10309,11,4.2916494657007105,2013,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,3180,126
10309,11,4.2916494657007105,2014,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,3196,123
10309,11,4.2916494657007105,2015,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.15617849,2,1,,,,133200,7400,106900,0.05263157894736842,3253,125
10309,11,4.2916494657007105,2016,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,3234,110
10309,11,4.2916494657007105,2017,Neufeld an der Leitha,Burgenland,103,NA,male,1,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,3339,149
10309,11,4.2916494657007105,2018,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,1,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,3418,152
10309,11,4.2916494657007105,2019,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,3451,137
10309,11,4.2916494657007105,2020,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.107628004,3,1,,,,136600,6000,109100,0.04207573632538569,NA,135
10309,11,4.2916494657007105,2021,Neufeld an der Leitha,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,141
10310,12,52.0837540561068,2012,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1809,12
10310,12,52.0837540561068,2013,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,1791,10
10310,12,52.0837540561068,2014,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,1785,6
10310,12,52.0837540561068,2015,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.126365055,2,1,,,,133200,7400,106900,0.05263157894736842,1762,6
10310,12,52.0837540561068,2016,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,1766,5
10310,12,52.0837540561068,2017,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,1779,7
10310,12,52.0837540561068,2018,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,1739,7
10310,12,52.0837540561068,2019,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,1748,7
10310,12,52.0837540561068,2020,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.088303641,3,1,,,,136600,6000,109100,0.04207573632538569,NA,6
10310,12,52.0837540561068,2021,Oggau am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,5
10311,13,17.8166440017527,2012,Oslip,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1278,9
10311,13,17.8166440017527,2013,Oslip,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,1274,9
10311,13,17.8166440017527,2014,Oslip,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,1279,9
