region;year;tot_indust
DE132;2012;8295
DE132;2018;9545
DE133;2008;4837
DE133;2010;3353
DE133;2012;4039
DE133;2018;3932
DE134;2008;18213
DE134;2010;16967
DE134;2012;18250
DE134;2018;20558
DE135;2008;3891
DE135;2010;3835
DE135;2012;4149
DE135;2018;7158
DE136;2008;7703
DE136;2010;6272
DE136;2012;6257
DE136;2018;7949
DE137;2008;5089
DE137;2010;3946
DE137;2012;4223
DE137;2018;5604
DE138;2008;7639
DE138;2010;5748
DE138;2012;8580
DE138;2018;8833
DE139;2008;5739
DE139;2010;5573
DE139;2012;6186
DE139;2018;6090
DE13A;2008;5090
DE13A;2010;5551
DE13A;2012;4263
DE13A;2018;4882
DE141;2008;8104
DE141;2010;6467
DE141;2012;7155
DE141;2018;10474
DE142;2008;3447
DE142;2010;2660
DE142;2012;4860
DE142;2018;4649
DE143;2008;7511
DE143;2010;5411
DE143;2012;6744
DE143;2018;6569
DE144;2008;6391
DE144;2010;5262
DE144;2012;5921
DE144;2018;8749
DE145;2008;10020
DE145;2010;10628
DE145;2012;9284
DE145;2018;13344
DE146;2008;10631
DE146;2010;8376
DE146;2012;10144
DE146;2018;10594
DE147;2008;4076
DE147;2010;4060
DE147;2012;6209
DE147;2018;6228
DE148;2008;11650
DE148;2010;10046
DE148;2012;11085
DE148;2018;12117
DE149;2008;4785
DE149;2010;5217
DE149;2012;5882
DE149;2018;6521
DE211;2008;6804
DE211;2010;5990
DE211;2012;7458
DE211;2018;6767
DE212;2008;22119
DE212;2010;17941
DE212;2012;21001
DE212;2018;21811
DE213;2008;1647
DE213;2010;1558
DE213;2012;1515
DE213;2018;1671
DE214;2008;5872
DE214;2010;3362
DE214;2012;4732
DE214;2018;7977
DE215;2008;3530
DE215;2010;2735
DE215;2012;3166
DE215;2018;3880
DE216;2008;3108
DE216;2010;2862
DE216;2012;2618
DE216;2018;3475
DE217;2008;4641
DE217;2010;3911
DE217;2012;3707
DE217;2018;5085
DE218;2008;5816
DE218;2010;4796
DE218;2012;4118
DE218;2018;4943
DE219;2008;6803
DE219;2010;6756
DE219;2012;6957
DE219;2018;8909
DE21A;2008;6146
DE21A;2010;5169
DE21A;2012;4907
DE21A;2018;11390
DE21B;2008;8997
DE21B;2010;9012
DE21B;2012;11235
DE21B;2018;12164
DE21C;2008;5628
DE21C;2010;4995
DE21C;2012;3737
DE21C;2018;5122
DE21D;2008;2157
DE21D;2010;1414
DE21D;2012;1496
DE21D;2018;1901
DE21E;2008;7310
DE21E;2010;3035
DE21E;2012;4808
DE21E;2018;5892
DE21F;2008;3024
DE21F;2010;1751
DE21F;2012;2589
DE21F;2018;3087
DE21G;2008;3680
DE21G;2010;4128
DE21G;2012;3646
DE21G;2018;5349
DE21H;2008;14907
DE21H;2010;9577
DE21H;2012;11558
DE21H;2018;14600
DE21I;2008;6304
DE21I;2010;5391
DE21I;2012;5983
DE21I;2018;7585
DE21J;2008;6858
DE21J;2010;7770
DE21J;2012;6060
DE21J;2018;8886
DE21K;2008;11153
DE21K;2010;8220
DE21K;2012;8990
DE21K;2018;9230
DE21L;2008;2568
DE21L;2010;3053
DE21L;2012;2855
DE21L;2018;3912
DE21M;2008;8183
DE21M;2010;6997
DE21M;2012;8288
DE21M;2018;11159
DE21N;2008;4429
DE21N;2010;3647
DE21N;2012;5619
DE21N;2018;5915
