nuts3;year;pop_tot
AT3;2020;3203462
AT3;2021;3215660
AT3;2022;3233522
AT31;2014;1425422
AT31;2015;1437251
AT31;2016;1453948
AT31;2017;1465045
AT31;2018;1473576
AT31;2019;1482095
AT31;2020;1490279
AT31;2021;1495608
AT31;2022;1505140
AT311;2014;276781
AT311;2015;278909
AT311;2016;281728
AT311;2017;284192
AT311;2018;286047
AT311;2019;287640
AT311;2020;289509
AT311;2021;290917
AT311;2022;293141
AT312;2014;560587
AT312;2015;567637
AT312;2016;575644
AT312;2017;581728
AT312;2018;587029
AT312;2019;591781
AT312;2020;595637
AT312;2021;598030
AT312;2022;601998
AT313;2014;204708
AT313;2015;205212
AT313;2016;207282
AT313;2017;208083
AT313;2018;208483
AT313;2019;209304
AT313;2020;210133
AT313;2021;210515
AT313;2022;211657
AT314;2014;152309
AT314;2015;152997
AT314;2016;154263
AT314;2017;154978
AT314;2018;155445
AT314;2019;155486
AT314;2020;155844
AT314;2021;156051
AT314;2022;156593
AT315;2014;231037
AT315;2015;232496
AT315;2016;235031
AT315;2017;236064
AT315;2018;236572
AT315;2019;237884
AT315;2020;239156
AT315;2021;240095
AT315;2022;241751
AT32;2014;534270
AT32;2015;538575
AT32;2016;545815
AT32;2017;549263
AT32;2018;552579
AT32;2019;555221
AT32;2020;558410
AT32;2021;560710
AT32;2022;562606
AT321;2014;20450
AT321;2015;20458
AT321;2016;20547
AT321;2017;20426
AT321;2018;20344
AT321;2019;20320
AT321;2020;20251
AT321;2021;20118
AT321;2022;20159
AT322;2014;163578
AT322;2015;164390
AT322;2016;166024
AT322;2017;166795
AT322;2018;167438
AT322;2019;168035
AT322;2020;168822
AT322;2021;169560
AT322;2022;170352
AT323;2014;350242
AT323;2015;353727
AT323;2016;359244
AT323;2017;362042
AT323;2018;364797
AT323;2019;366866
AT323;2020;369337
AT323;2021;371032
AT323;2022;372095
AT33;2014;722038
AT33;2015;728826
AT33;2016;739139
AT33;2017;746153
AT33;2018;751140
AT33;2019;754705
AT33;2020;757634
AT33;2021;760105
AT33;2022;764102
AT331;2014;31672
AT331;2015;31691
AT331;2016;32036
AT331;2017;32399
AT331;2018;32532
AT331;2019;32670
AT331;2020;32838
AT331;2021;33054
AT331;2022;33284
AT332;2014;294259
AT332;2015;299006
AT332;2016;305226
AT332;2017;308290
AT332;2018;310297
AT332;2019;311428
AT332;2020;312414
AT332;2021;312757
AT332;2022;313503
AT333;2014;48990
AT333;2015;48896
AT333;2016;49026
AT333;2017;48879
AT333;2018;48833
AT333;2019;48753
AT333;2020;48738
AT333;2021;48814
AT333;2022;48818
AT334;2014;101177
AT334;2015;101547
AT334;2016;102419
AT334;2017;103190
AT334;2018;103949
AT334;2019;104418
AT334;2020;104860
AT334;2021;105268
AT334;2022;106037
AT335;2014;245940
AT335;2015;247686
AT335;2016;250432
AT335;2017;253395
AT335;2018;255529
AT335;2019;257436
AT335;2020;258784
AT335;2021;260212
AT335;2022;262460
AT34;2014;375282
AT34;2015;378592
AT34;2016;384147
AT34;2017;388752
AT34;2018;391741
AT34;2019;394297
AT34;2020;397139
AT34;2021;399237
AT34;2022;401674
AT341;2014;87974
AT341;2015;88571
AT341;2016;89934
AT341;2017;90847
AT341;2018;91399
AT341;2019;91889
AT341;2020;92362
AT341;2021;92656
AT341;2022;93293
AT342;2014;287308
AT342;2015;290021
AT342;2016;294213
AT342;2017;297905
AT342;2018;300342
AT342;2019;302408
AT342;2020;304777
AT342;2021;306581
AT342;2022;308381
BE;2014;11180840
BE;2015;11237274
BE;2016;11311117
BE;2017;11351727
BE;2018;11398589
BE;2019;11455519
BE;2020;11522440
BE;2021;11554767
BE;2022;11617623
BE1;2014;1172751
BE1;2015;1184101
BE1;2016;1201285
BE1;2017;1199095
BE1;2018;1205492
BE1;2019;1215289
BE1;2020;1223364
BE1;2021;1226329
BE1;2022;1228655
BE10;2014;1172751
BE10;2015;1184101
BE10;2016;1201285
BE10;2017;1199095
BE10;2018;1205492
BE10;2019;1215289
BE10;2020;1223364
BE10;2021;1226329
BE10;2022;1228655
BE100;2014;1172751
BE100;2015;1184101
BE100;2016;1201285
BE100;2017;1199095
BE100;2018;1205492
BE100;2019;1215289
BE100;2020;1223364
BE100;2021;1226329
BE100;2022;1228655
BE2;2014;6421947
BE2;2015;6453009
BE2;2016;6491999
BE2;2017;6526061
BE2;2018;6559294
BE2;2019;6596234
BE2;2020;6639005
BE2;2021;6664709
BE2;2022;6709787
BE21;2014;1806634
BE21;2015;1817033
BE21;2016;1828927
BE21;2017;1838863
BE21;2018;1849523
BE21;2019;1860470
BE21;2020;1873095
BE21;2021;1879318
BE21;2022;1890627
BE211;2014;1024987
BE211;2015;1030055
BE211;2016;1036031
BE211;2017;1041811
BE211;2018;1047030
BE211;2019;1053033
BE211;2020;1059946
BE211;2021;1062427
BE211;2022;1067117
BE212;2014;333592
BE212;2015;335794
BE212;2016;337680
BE212;2017;340671
BE212;2018;343101
BE212;2019;344980
BE212;2020;347576
BE212;2021;348999
BE212;2022;351562
BE213;2014;448055
BE213;2015;451184
BE213;2016;455216
BE213;2017;456381
BE213;2018;459392
BE213;2019;462457
BE213;2020;465573
BE213;2021;467892
BE213;2022;471948
BE22;2014;857844
BE22;2015;861380
BE22;2016;866970
BE22;2017;869664
BE22;2018;872739
BE22;2019;875842
BE22;2020;880602
BE22;2021;883228
BE22;2022;888913
BE221;2014;419302
BE221;2015;421507
BE221;2016;424695
BE221;2017;426140
BE221;2018;427695
BE221;2019;429704
BE221;2020;432163
BE222;2014;237584
BE222;2015;238494
BE222;2016;240241
BE222;2017;240802
BE222;2018;241350
BE222;2019;241849
BE222;2020;243104
BE223;2014;200958
BE223;2015;201379
BE223;2016;202034
BE223;2017;202722
BE223;2018;203694
BE223;2019;204289
BE223;2020;205335
BE223;2021;205913
BE223;2022;207436
BE224;2014;409105
BE224;2015;411309
BE224;2016;414384
BE224;2017;415812
BE224;2018;417361
BE224;2019;419257
BE224;2020;421700
BE224;2021;423545
BE224;2022;425762
BE225;2014;247781
BE225;2015;248692
BE225;2016;250552
BE225;2017;251130
BE225;2018;251684
BE225;2019;252296
BE225;2020;253567
BE225;2021;253770
BE225;2022;255715
BE23;2014;1471126
BE23;2015;1479049
BE23;2016;1489084
BE23;2017;1498483
BE23;2018;1506232
BE23;2019;1516284
BE23;2020;1526486
BE23;2021;1533876
BE23;2022;1545469
BE231;2014;282457
BE231;2015;283885
BE231;2016;285328
BE231;2017;287018
BE231;2018;289279
BE231;2019;291351
BE231;2020;293832
BE231;2021;296259
BE231;2022;298743
BE232;2014;197260
BE232;2015;197945
BE232;2016;198841
BE232;2017;199772
BE232;2018;200423
BE232;2019;201299
BE232;2020;202502
BE232;2021;203110
BE232;2022;204378
BE233;2014;83372
BE233;2015;83755
BE233;2016;83862
BE233;2017;84308
BE233;2018;84732
BE233;2019;85378
BE233;2020;85868
BE233;2021;86756
BE233;2022;87576
BE234;2014;542030
BE234;2015;545427
BE234;2016;550863
BE234;2017;554633
BE234;2018;557050
BE234;2019;560691
BE234;2020;563982
BE234;2021;565571
BE234;2022;569089
BE235;2014;122221
BE235;2015;122732
BE235;2016;123141
BE235;2017;123415
BE235;2018;123923
BE235;2019;124402
BE235;2020;124661
BE235;2021;125095
BE235;2022;126000
BE236;2014;243786
BE236;2015;245305
BE236;2016;247049
BE236;2017;249337
BE236;2018;250825
BE236;2019;253163
BE236;2020;255641
BE236;2021;257085
BE236;2022;259683
