edu_level;age;nuts3;year;prop;;
Vocational_edu;Y20-24;BE32;2019;25.0;;
Vocational_edu;Y20-24;BE32;2020;23.3;;
Vocational_edu;Y20-24;BE32;2021;24.7;;
Vocational_edu;Y20-24;BE32;2022;22.8;;
Vocational_edu;Y20-24;BE33;2014;21.6;;
Vocational_edu;Y20-24;BE33;2015;27.0;;
Vocational_edu;Y20-24;BE33;2016;22.6;;
Vocational_edu;Y20-24;BE33;2017;21.6;;
Vocational_edu;Y20-24;BE33;2018;23.0;;
Vocational_edu;Y20-24;BE33;2019;21.8;;
Vocational_edu;Y20-24;BE33;2020;18.3;;
Vocational_edu;Y20-24;BE33;2021;24.2;;
Vocational_edu;Y20-24;BE33;2022;23.0;;
Vocational_edu;Y20-24;BE34;2014;28.3;;
Vocational_edu;Y20-24;BE34;2015;31.7;;
Vocational_edu;Y20-24;BE34;2016;29.4;;
Vocational_edu;Y20-24;BE34;2017;23.0;;
Vocational_edu;Y20-24;BE34;2018;24.0;;
Vocational_edu;Y20-24;BE34;2019;28.0;;
Vocational_edu;Y20-24;BE34;2020;23.9;;
Vocational_edu;Y20-24;BE34;2021;23.4;;
Vocational_edu;Y20-24;BE34;2022;27.0;;
Vocational_edu;Y20-24;BE35;2014;31.0;;
Vocational_edu;Y20-24;BE35;2015;26.0;;
Vocational_edu;Y20-24;BE35;2016;31.2;;
Vocational_edu;Y20-24;BE35;2017;22.2;;
Vocational_edu;Y20-24;BE35;2018;20.7;;
Vocational_edu;Y20-24;BE35;2019;19.6;;
Vocational_edu;Y20-24;BE35;2020;21.7;;
Vocational_edu;Y20-24;BE35;2021;20.6;;
Vocational_edu;Y20-24;BE35;2022;25.3;;
Vocational_edu;Y20-24;BG;2014;28.8;;
Vocational_edu;Y20-24;BG;2015;28.3;;
Vocational_edu;Y20-24;BG;2016;25.0;;
Vocational_edu;Y20-24;BG;2017;22.2;;
Vocational_edu;Y20-24;BG;2018;20.5;;
Vocational_edu;Y20-24;BG;2019;20.0;;
Vocational_edu;Y20-24;BG;2020;19.9;;
Vocational_edu;Y20-24;BG;2021;20.5;;
Vocational_edu;Y20-24;BG;2022;22.9;;
Vocational_edu;Y20-24;BG3;2014;35.4;;
Vocational_edu;Y20-24;BG3;2015;34.1;;
Vocational_edu;Y20-24;BG3;2016;28.8;;
Vocational_edu;Y20-24;BG3;2017;26.3;;
Vocational_edu;Y20-24;BG3;2018;23.8;;
Vocational_edu;Y20-24;BG3;2019;23.9;;
Vocational_edu;Y20-24;BG3;2020;23.2;;
Vocational_edu;Y20-24;BG3;2021;27.3;;
Vocational_edu;Y20-24;BG3;2022;29.7;;
Vocational_edu;Y20-24;BG31;2014;33.1;;
Vocational_edu;Y20-24;BG31;2015;32.3;;
Vocational_edu;Y20-24;BG31;2016;24.6;;
Vocational_edu;Y20-24;BG31;2017;23.2;;
Vocational_edu;Y20-24;BG31;2018;22.0;;
Vocational_edu;Y20-24;BG31;2019;19.2;;
Vocational_edu;Y20-24;BG31;2020;24.2;;
Vocational_edu;Y20-24;BG31;2021;29.0;;
Vocational_edu;Y20-24;BG31;2022;31.2;;
Vocational_edu;Y20-24;BG32;2014;40.8;;
Vocational_edu;Y20-24;BG32;2015;42.3;;
Vocational_edu;Y20-24;BG32;2016;41.6;;
Vocational_edu;Y20-24;BG32;2017;42.9;;
Vocational_edu;Y20-24;BG32;2018;43.7;;
Vocational_edu;Y20-24;BG32;2019;46.2;;
Vocational_edu;Y20-24;BG32;2020;37.3;;
Vocational_edu;Y20-24;BG32;2021;35.2;;
Vocational_edu;Y20-24;BG32;2022;35.5;;
Vocational_edu;Y20-24;BG33;2014;35.3;;
Vocational_edu;Y20-24;BG33;2015;33.2;;
Vocational_edu;Y20-24;BG33;2016;24.3;;
Vocational_edu;Y20-24;BG33;2017;20.9;;
Vocational_edu;Y20-24;BG33;2018;15.6;;
Vocational_edu;Y20-24;BG33;2019;18.6;;
Vocational_edu;Y20-24;BG33;2020;19.7;;
Vocational_edu;Y20-24;BG33;2021;25.5;;
Vocational_edu;Y20-24;BG33;2022;28.4;;
Vocational_edu;Y20-24;BG34;2014;32.9;;
Vocational_edu;Y20-24;BG34;2015;29.8;;
Vocational_edu;Y20-24;BG34;2016;25.1;;
Vocational_edu;Y20-24;BG34;2017;20.6;;
Vocational_edu;Y20-24;BG34;2018;19.9;;
Vocational_edu;Y20-24;BG34;2019;16.7;;
Vocational_edu;Y20-24;BG34;2020;17.3;;
Vocational_edu;Y20-24;BG34;2021;21.9;;
Vocational_edu;Y20-24;BG34;2022;25.2;;
Vocational_edu;Y20-24;BG4;2014;22.9;;
Vocational_edu;Y20-24;BG4;2015;23.4;;
Vocational_edu;Y20-24;BG4;2016;22.0;;
Vocational_edu;Y20-24;BG4;2017;18.8;;
Vocational_edu;Y20-24;BG4;2018;17.9;;
Vocational_edu;Y20-24;BG4;2019;17.1;;
Vocational_edu;Y20-24;BG4;2020;17.3;;
Vocational_edu;Y20-24;BG4;2021;15.1;;
Vocational_edu;Y20-24;BG4;2022;17.6;;
Vocational_edu;Y20-24;BG41;2014;21.2;;
Vocational_edu;Y20-24;BG41;2015;23.9;;
Vocational_edu;Y20-24;BG41;2016;23.2;;
Vocational_edu;Y20-24;BG41;2017;19.1;;
Vocational_edu;Y20-24;BG41;2018;18.2;;
Vocational_edu;Y20-24;BG41;2019;15.9;;
Vocational_edu;Y20-24;BG41;2020;14.2;;
Vocational_edu;Y20-24;BG41;2021;10.0;;
Vocational_edu;Y20-24;BG41;2022;13.0;;
Vocational_edu;Y20-24;BG42;2014;26.1;;
Vocational_edu;Y20-24;BG42;2015;22.6;;
Vocational_edu;Y20-24;BG42;2016;19.9;;
Vocational_edu;Y20-24;BG42;2017;18.2;;
Vocational_edu;Y20-24;BG42;2018;17.2;;
Vocational_edu;Y20-24;BG42;2019;19.6;;
Vocational_edu;Y20-24;BG42;2020;23.9;;
Vocational_edu;Y20-24;BG42;2021;25.2;;
Vocational_edu;Y20-24;BG42;2022;26.1;;
Vocational_edu;Y20-24;CH;2014;43.7;;
Vocational_edu;Y20-24;CH;2015;42.9;;
Vocational_edu;Y20-24;CH;2016;43.8;;
Vocational_edu;Y20-24;CH;2017;43.9;;
Vocational_edu;Y20-24;CH;2018;42.4;;
Vocational_edu;Y20-24;CH;2019;39.6;;
Vocational_edu;Y20-24;CH;2020;38.9;;
Vocational_edu;Y20-24;CH;2021;41.3;;
Vocational_edu;Y20-24;CH;2022;40.8;;
Vocational_edu;Y20-24;CH0;2014;43.7;;
Vocational_edu;Y20-24;CH0;2015;42.9;;
Vocational_edu;Y20-24;CH0;2016;43.8;;
Vocational_edu;Y20-24;CH0;2017;43.9;;
Vocational_edu;Y20-24;CH0;2018;42.4;;
Vocational_edu;Y20-24;CH0;2019;39.6;;
Vocational_edu;Y20-24;CH0;2020;38.9;;
Vocational_edu;Y20-24;CH0;2021;41.3;;
Vocational_edu;Y20-24;CH0;2022;40.8;;
Vocational_edu;Y20-24;CH01;2014;31.2;;
Vocational_edu;Y20-24;CH01;2015;28.4;;
Vocational_edu;Y20-24;CH01;2016;32.2;;
Vocational_edu;Y20-24;CH01;2017;31.0;;
Vocational_edu;Y20-24;CH01;2018;27.8;;
Vocational_edu;Y20-24;CH01;2019;24.9;;
Vocational_edu;Y20-24;CH01;2020;25.2;;
Vocational_edu;Y20-24;CH01;2021;26.3;;
Vocational_edu;Y20-24;CH01;2022;26.2;;
Vocational_edu;Y20-24;CH02;2014;44.2;;
Vocational_edu;Y20-24;CH02;2015;46.5;;
Vocational_edu;Y20-24;CH02;2016;45.6;;
Vocational_edu;Y20-24;CH02;2017;44.0;;
Vocational_edu;Y20-24;CH02;2018;44.6;;
Vocational_edu;Y20-24;CH02;2019;42.8;;
Vocational_edu;Y20-24;CH02;2020;39.6;;
Vocational_edu;Y20-24;CH02;2021;43.8;;
Vocational_edu;Y20-24;CH02;2022;42.5;;
Vocational_edu;Y20-24;CH03;2014;41.3;;
Vocational_edu;Y20-24;CH03;2015;43.4;;
Vocational_edu;Y20-24;CH03;2016;47.4;;
Vocational_edu;Y20-24;CH03;2017;48.1;;
Vocational_edu;Y20-24;CH03;2018;45.5;;
Vocational_edu;Y20-24;CH03;2019;41.6;;
Vocational_edu;Y20-24;CH03;2020;41.9;;
Vocational_edu;Y20-24;CH03;2021;44.3;;
Vocational_edu;Y20-24;CH03;2022;44.9;;
Vocational_edu;Y20-24;CH04;2014;45.3;;
Vocational_edu;Y20-24;CH04;2015;45.0;;
Vocational_edu;Y20-24;CH04;2016;42.2;;
Vocational_edu;Y20-24;CH04;2017;44.0;;
Vocational_edu;Y20-24;CH04;2018;45.0;;
Vocational_edu;Y20-24;CH04;2019;40.8;;
Vocational_edu;Y20-24;CH04;2020;38.5;;
Vocational_edu;Y20-24;CH04;2021;40.2;;
Vocational_edu;Y20-24;CH04;2022;42.1;;
Vocational_edu;Y20-24;CH05;2014;57.4;;
Vocational_edu;Y20-24;CH05;2015;50.0;;
Vocational_edu;Y20-24;CH05;2016;51.7;;
Vocational_edu;Y20-24;CH05;2017;54.2;;
Vocational_edu;Y20-24;CH05;2018;51.0;;
Vocational_edu;Y20-24;CH05;2019;51.2;;
Vocational_edu;Y20-24;CH05;2020;49.4;;
Vocational_edu;Y20-24;CH05;2021;52.3;;
Vocational_edu;Y20-24;CH05;2022;51.8;;
Vocational_edu;Y20-24;CH06;2014;49.8;;
Vocational_edu;Y20-24;CH06;2015;50.4;;
Vocational_edu;Y20-24;CH06;2016;52.9;;
Vocational_edu;Y20-24;CH06;2017;51.1;;
Vocational_edu;Y20-24;CH06;2018;47.8;;
Vocational_edu;Y20-24;CH06;2019;45.9;;
Vocational_edu;Y20-24;CH06;2020;49.9;;
Vocational_edu;Y20-24;CH06;2021;50.7;;
Vocational_edu;Y20-24;CH06;2022;48.2;;
Vocational_edu;Y20-24;CH07;2014;37.3;;
Vocational_edu;Y20-24;CH07;2015;37.6;;
Vocational_edu;Y20-24;CH07;2016;38.0;;
Vocational_edu;Y20-24;CH07;2017;42.4;;
Vocational_edu;Y20-24;CH07;2018;40.0;;
Vocational_edu;Y20-24;CH07;2019;33.0;;
Vocational_edu;Y20-24;CH07;2020;37.0;;
Vocational_edu;Y20-24;CH07;2021;35.6;;
Vocational_edu;Y20-24;CH07;2022;29.9;;
Vocational_edu;Y20-24;CY;2014;12.1;;
Vocational_edu;Y20-24;CY;2015;13.3;;
Vocational_edu;Y20-24;CY;2016;11.7;;
Vocational_edu;Y20-24;CY;2017;10.6;;
Vocational_edu;Y20-24;CY;2018;13.4;;
Vocational_edu;Y20-24;CY;2019;15.9;;
Vocational_edu;Y20-24;CY;2020;13.9;;
Vocational_edu;Y20-24;CY;2021;14.1;;
Vocational_edu;Y20-24;CY;2022;15.2;;
Vocational_edu;Y20-24;CY0;2014;12.1;;
Vocational_edu;Y20-24;CY0;2015;13.3;;
Vocational_edu;Y20-24;CY0;2016;11.7;;
